ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Price,Annex,value,overun_%
63,KACANIK,Services,Not Provided,KA652/11/09/236,"Sigurimi i automjeteve te Administrates, QKMF-se dhe sherbimit te sjarrfiksave",2011,PROSING NSH,Kacanik,6-Apr-11,Not Provided,"8,320.83",Not Provided,8320.83,0
64,KACANIK,Services,Not Provided,KA652/11/04/235,Eleminimi I qeneve Endacak,2011,SHOQATA E GJUETAREVE DRERI ,Kacanik,19-Apr-11,Not Provided,"1,698.00",Not Provided,1698,0
65,KACANIK,Jobs,Not Provided,KA652/11/02/521,Ndertimi i kanalizimit fekal ne fshatin Soponice lagja Dallosh,2011,ATC COM NNP,Kacanik,28-Apr-11,Not Provided,"31,000.00",Not Provided,31000,0
66,FERIZAJ,Services,National Budget,12,"Shqyrtimi statik i objektit te sh. F. ne Fshatin Dardani, Komuna e Ferizajt",2011,IBMS NSH,Ferizaj,4-May-11,0,"1,755.18",0,1755.18,0
67,KACANIK,Services,Not Provided,KA652/11/07/236,Mirmbajtja dhe Riparimi I Automjeteve,2011,MALI ART NPT,Kacanik,5-May-11,Not Provided,"10,000.00",Not Provided,10000,0
68,KACANIK,Jobs,Not Provided,KA652/11/03/521,"Asfaltimi i rruges ne fshatin Bob, faza e III - Kacanik.",2011,ATC COM NNP,Kacanik,6-May-11,Not Provided,"51,679.22",Not Provided,51679.22,0
69,KACANIK,Jobs,Not Provided,KA652/11/05/521,Asfaltimi i rruges ne fshatin Bob lagja Kuka,2011,BAGERI NPSH,Ferizaj,6-May-11,Not Provided,"87,456.00",Not Provided,87456,0
70,KACANIK,Jobs,Not Provided,KA652/11/06/521,Asfaltimi I rruges ne fshatin Doganaj lagja Mursel dhe Kolsh,2011,GERLICA COMPANY SHPK,Ferizaj,11-May-11,Not Provided,"129,980.76",Not Provided,129980.76,0
71,KACANIK,Jobs,Not Provided,KA652/11/10/521,"Asfaltimi I rruges Deshmoret e Lirise, faza e dyte",2011,EUROTRANS NNT,Kacanik,11-May-11,Not Provided,"60,926.26",Not Provided,60926.26,0
72,KACANIK,Services,Not Provided,KA652/11/14/236,"Rregullimi I rrjetit te nxemjes (Kalldajes) ne ""QEAP AGIMI""",2011,TERMOLUZHA SHPK,Kacanik,17-May-11,Not Provided,"3,558.00",Not Provided,3558,0
73,KACANIK,Jobs,Not Provided,KA652/11/16/536,"Rregullimi I klaseve ne Sh. F. ""Qamil Ilazi"" dhe SHMP.",2011,AR DRITI NTSH,Ferizaj,18-May-11,Not Provided,"7,813.10",Not Provided,7813.1,0
74,KACANIK,Supply,Not Provided,KA652/11/15/136,Furnizim me material stomatologjik dhe laboratorik per QKMF- ne,2011,ATOM MED NTSH,Ferizaj,19-May-11,Not Provided,"10,000.00",Not Provided,10000,0
75,FERIZAJ,Jobs,Municipal Budget,34,"Rregullimi i fushes sportive dhe rruges ne sh.f.ne Fsh.Gacke, Komuna e Ferizajt",2011,BAGERI NPSH,Ferizaj,27-May-11,0,"9,836.07",0,9836.07,0
76,KACANIK,Supply,Not Provided,KA652/11/17/136,Furnizim me pajisje teknologjike per nevojat e Administrates Komunale,2011,ELITA IT NTSH,Kacanik,31-May-11,Not Provided,"9,843.00",Not Provided,9843,0
77,KACANIK,Jobs,Not Provided,KA652/11/18/536,Renovimi I disa zyreve ne objektin e Administrates Komunale,2011,P & I NNSH,Ferizaj,6-Jun-11,Not Provided,"9,890.00",Not Provided,9890,0
78,KACANIK,Jobs,Not Provided,KA652/11/24/536,Riparimi I disa zyreve ne objektin e Administrates Komunale,2011,ADAR NNSH,Kacanik,24-Jun-11,Not Provided,"8,563.45",Not Provided,8563.45,0
79,KACANIK,Jobs,Not Provided,KA652/11/29/536,Rregullimi I ujesjellesit dhe ndrrimi I dritareve ne Sh.F.Jusuf Gervalla paralelja ne Nikaj,2011,AR DRITI NTSH,Ferizaj,19-Jul-11,Not Provided,"6,339.73",Not Provided,6339.73,0
80,KACANIK,Jobs,Not Provided,KA652/11/19/521,Ndertimi I ures mbi lumin Nerodime,2011,AR DRITI NTSH,Ferizaj,21-Jul-11,Not Provided,"77,602.00",Not Provided,77602,0
81,KACANIK,Jobs,Not Provided,KA652/11/22/521,Ndertimi I serrave ne siperfaqe prej 256 m_ per subvecionimin e fermereve,2011,KASTRIOTI NSH,Ferizaj,22-Jul-11,Not Provided,"36,300.00",Not Provided,36300,0
82,KACANIK,Supply,Not Provided,KA652/11/23/121,Furnizim me makina mjelese per Lope per Subvencionimin e fermereve,2011,AGRO INTERNACIONAL,Fushe Kosove,22-Jul-11,Not Provided,"9,920.00",Not Provided,9920,0
83,KACANIK,Jobs,Not Provided,KA652/11/30/536,Asfaltimi I fushes se sportit ne shkollen fillore Idriz Seferi Bob,2011,ATC COM NNP,Kacanik,29-Jul-11,Not Provided,"6,000.00",Not Provided,6000,0
84,KACANIK,Jobs,Not Provided,KA652/11/32/521,"Asfaltimi I rruges Kacanik- Gajre, faza e pare",2011,BAGERI NPSH,Ferizaj,16-Aug-11,Not Provided,"134,369.90",Not Provided,134369.9,0
85,KACANIK,Jobs,Not Provided,KA652/11/36/536,Ndertimi I kanalizimit fekal ne lagjen Thaqi ne fshatin Kovaqec,2011,ATC COM NNP,Kacanik,23-Aug-11,Not Provided,"9,000.00",Not Provided,9000,0
86,KACANIK,Jobs,Not Provided,KA652/11/27/521,Rehabilitimi I gjelbrimt ne rrugen Ismail Raka ne Kacanik,2011,ATC COM NNP,Kacanik,26-Aug-11,Not Provided,"66,573.40",Not Provided,66573.4,0
87,KACANIK,Jobs,Not Provided,KA652/11/34/521,Meremetimi I pjeserishem ne disa shkolla ne Komunene Kacanikut,2011,INGJINJERINGU NPN,Ferizaj,5-Sep-11,Not Provided,"21,859.04",Not Provided,21859.04,0
88,KACANIK,Supply,Not Provided,KA652/11/33/121,Furnizim me vetura per nevojat e SHCK-se,2011,AUTO LAMI NTP,Lipjani,6-Sep-11,Not Provided,"49,300.00",Not Provided,49300,0
89,KACANIK,Jobs,Not Provided,KA652/11/45/536,"Ndertimi I disa punimeve ne objektin e xhveshtores per KF ""LEPENCI""",2011,LINDA SHPK,Ferizaj,6-Sep-11,Not Provided,"9,973.37",Not Provided,9973.37,0
90,KACANIK,Services,Not Provided,KA652/11/40/521,Hartimi I projektit per rehabilitimin e kulmit ne shtepin e kultures ne Kacanik,2011,EUP ENGEENERING NS,Kacanik,8-Sep-11,Not Provided,"2,500.00",Not Provided,2500,0
91,KACANIK,Jobs,Not Provided,KA652/11/42/536,"Ndertimi I murit mbrojtes rreth rruges magjistrale te stadiumit te qytetit ""Besnik Beguca""- Kacanik",2011,LINDA SHPK,Ferizaj,9-Sep-11,Not Provided,"9,937.00",Not Provided,9937,0
92,KACANIK,Services,Not Provided,KA652/11/44/236,Riparimi dhe servisimin e instrumenteve gjeodezike,2011,DWH KOSOVA SHPK,Prishtine,9-Sep-11,Not Provided,"4,230.93",Not Provided,4230.93,0
93,KACANIK,Supply,Not Provided,KA652/11/31/121,Furnizim me lende djegese thengjill per shkollat,2011,AJRONI COM NTP,Prishtine,22-Sep-11,Not Provided,"6,583.50",Not Provided,6583.5,0
94,KACANIK,Jobs,Not Provided,KA652/11/38/521,Punimi I murit rrethues te varrezate deshmoreve,2011,P & I NNSH,Ferizaj,22-Sep-11,Not Provided,"33,771.60",Not Provided,33771.6,0
95,KACANIK,Jobs,Not Provided,KA652/11/39/521,Asfaltimi I rruges ne fshatin Kovaqec,2011,EUROTRANS NNT,Kacanik,22-Sep-11,Not Provided,"244,916.62",Not Provided,244916.62,0
96,KACANIK,Jobs,Not Provided,KA652/11/41/521,Sinjalizimi horizontal dhe vertikal dhe sanimi I disa segmenteve te rrjetit te ndriqimit publik ne Kacanik,2011,KROSA NSH,Ferizaj,23-Sep-11,Not Provided,"15,202.97",Not Provided,15202.97,0
97,FERIZAJ,Supply,National Budget,136,"Furnizim me material per instalimin e rrjetit kompjuterik si dhe furnizimin me antena, te cilat do ta bejne shperndarjen e rrjetit qeveritar, ne objektit e Shtepise se Kultures ne Ferizaj",2011,ELEKTRO AM NTSH,Ferizaj,29-Sep-11,0,"1,824.40",0,1824.4,0
98,KACANIK,Supply,Not Provided,KA652/11/37/121,"""Furnizim me lende djegese dru per shkollat, shendetsine dhe te zyreve te vendit,dhe shkurtimi i tyre _ Kacanik",2011,PATI NSHT,Kacanik,30-Sep-11,Not Provided,"44,500.50",Not Provided,44500.5,0
99,KACANIK,Supply,Not Provided,KA652/11/35/136,Furnizim me inventar (mobilr) per zyren e Kryetarit,2011,AHISHTA DPZ,Kacanik,19-Oct-11,Not Provided,"2,653.00",Not Provided,2653,0
100,KACANIK,Services,Not Provided,KA652/11/45/521,Largimi I mbeturinave nga deponit ilegale dhe pastrimi I perrockave,2011,ANRA SHPK,Prishtine,24-Oct-11,Not Provided,"52,805.00",Not Provided,52805,0
101,KACANIK,Services,Not Provided,KA652/11/057/236,Transparenca Komunale per Planifikim Vjetor,2011,RADIO KA_ANIKU,Kacanik,1-Nov-11,Not Provided,"7,000.00",Not Provided,7000,0
102,KACANIK,Jobs,Not Provided,KA652/11/058/525,Dislokimi I pajisjeve te VK dhe ndertimi I vendkalimit ne drejtim mwe shina S-49 L=12x2,2011,INFRAKOS  SHA,Fushe Kosove,1-Nov-11,Not Provided,"32,019.40",Not Provided,32019.4,0
103,KACANIK,Jobs,Not Provided,KA652/11/050/521,"Rregullimi I ambientit, rrethojat, gjelberimi dhe disa renovime te mbrendshme ne objektet e QKMF-se",2011,ANRA SHPK,Prishtine,2-Nov-11,Not Provided,"25,213.75",Not Provided,25213.75,0
104,KACANIK,Services,Not Provided,KA652/11/051/236,Hartimi I planit rregullues urbanper zonen e I-re Urbanistike ne qytetin e Kacanikut,2011,INS PRISHTINE SHPK,Prishtine,3-Nov-11,Not Provided,"9,990.00",Not Provided,9990,0
105,KACANIK,Supply,Not Provided,KA652/11/048/136,"_Furnizim me Tonera per nevojat e SHCK-se, Shkollat, Zjarrfiksave dhe Shendetsine.",2011,BESS TONERS NTSH,Gjilan,4-Nov-11,Not Provided,"10,000.00",Not Provided,10000,0
106,KACANIK,Jobs,Not Provided,KA652/11/53/536,"Rregullimi I klaseve ne Sh. F. ""Emin Duraku"" - Kacanik",2011,MURSELI COMPANY SHPK,Kacanik,4-Nov-11,Not Provided,"9,264.50",Not Provided,9264.5,0
107,KACANIK,Supply,Not Provided,KA652/11/054/136,"_Furnizim me materijal higjenik per nevojat e SHCK-se, Shkollat, Zjarrfiksave dhe Shendetsine.",2011,LATI NTP,Kacanik,4-Nov-11,Not Provided,"10,000.00",Not Provided,10000,0
108,KACANIK,Jobs,Not Provided,KA652/11/052/521,Ndertimi I tregut te kafsheve ne fshatin Kovaqec,2011,LYBOTENI SHPK,Shterpce,8-Nov-11,Not Provided,"18,559.40",Not Provided,18559.4,0
109,KACANIK,Jobs,Not Provided,KA652/11/59/536,"Ndertimi I kanalizimit fekal ne Shkollen Fillore ""7 Shtatori"" Begrace",2011,ATC COM NNP,Kacanik,14-Nov-11,Not Provided,"9,994.71",Not Provided,9994.71,0
110,KACANIK,Services,Not Provided,KA652/11/64/236,Instalimi I sistemit te Kamerave mbrenda dhe jashte ne Sh.F. Emin Duraku,2011,NAS SYSTEMS NTP,Gjilan,14-Nov-11,Not Provided,"1,974.20",Not Provided,1974.2,0
111,KACANIK,Jobs,Not Provided,KA652/11/60/536,"Rregullimi dyshemes ne sallen e sportit ne SHMP ""Feriz Guri dhe Vllezerit _aka""",2011,AR DRITI NTSH,Ferizaj,16-Nov-11,Not Provided,"4,995.00",Not Provided,4995,0
112,KACANIK,Jobs,Not Provided,KA653/11/61/536,Ndertimi I murit mbajtes te varrezat e Qytetit,2011,REMA NTSH,Kacanik,18-Nov-11,Not Provided,"9,950.80",Not Provided,9950.8,0
113,KACANIK,Supply,Not Provided,KA652/11/56/121,"Furnizim me material harxhues _ administrativ per SHCK-en, Shkollat,Zjarrfiksat dhe Shendetsine",2011,ELITA IT NTSH,Ferizaj,25-Nov-11,Not Provided,"100,000.00",Not Provided,100000,0
114,KACANIK,Jobs,Not Provided,KA652/11/63/536,Riparimi I rrjettit te ndriqimit publik dhe sinjalizimi horizontal dhe vertikal - Kacanik,2011,KROSA NSH,Ferizaj,30-Nov-11,Not Provided,"4,788.00",Not Provided,4788,0
115,KACANIK,Services,Not Provided,KA653/11/62/221,Mirembajtja dimerore e disa rrugeve ne Komunen e Kacanikut,2011,ANRA SHPK,Prishtine,13-Dec-11,Not Provided,"30,000.00",Not Provided,30000,0
116,FERIZAJ,Supply,Municipal Budget,195,Furnizimi me dhe per mbushjen e hapesires se fushes se sportit ne Fsh.Komogllave-Faza e dyte,2011,BUARDI SHPK,Kacanik,14-Dec-11,0,"9,180.00",0,9180,0
